marca;marca_id
Essence;1
Glamour Beauty;2
Velvet Touch;3
Chic Cosmetics;4
Nail Couture;5
Calvin Klein;6
Chanel;7
Dior;8
Dolce & Gabbana;9
Gucci;10
Annibale Colombo;11
Furniture Co.;12
Knoll;13
Bath Trends;14
Sem marca;15
Apple;16
Asus;17
Huawei;18
Lenovo;19
Dell;20
Fashion Trends;21
Gigabyte;22
Classic Wear;23
Casual Comfort;24
Urban Chic;25
Nike;26
Puma;27
Off White;28
Fashion Timepieces;29
Longines;30
Rolex;31
Amazon;32
Beats;33
TechGear;34
GadgetMaster;35
SnapTech;36
ProVision;37
Generic Motors;38
Kawasaki;39
MotoGP;40
ScootMaster;41
SpeedMaster;42
Attitude;43
Olay;44
Vaseline;45
Oppo;46
Realme;47
Samsung;48
Vivo;49
Fashion Shades;50
Fashion Fun;51
Chrysler;52
Dodge;53
Fashionista;54
Heshe;55
Prada;56
Elegance Collection;57
Comfort Trends;58
Fashion Diva;59
Pampi;60
Fashion Express;61
IWC;62
Fashion Gold;63
Fashion Co.;64
